route,flight_date,days_to_departure,airline,price,duration,stops_count
BOM-DOH,2025-12-01,1,SriLankan,12548,20 hr 45 min,1 stop
BOM-DOH,2025-12-01,1,Air Arabia,16323,15 hr 10 min,1 stop
BOM-DOH,2025-12-01,1,Gulf Air,16408,17 hr 35 min,1 stop
BOM-DOH,2025-12-01,1,Air Arabia,16764,4 hr 40 min SHJ,1 stop
BOM-DOH,2025-12-01,1,IndiGoQatar AirwaysOperated by 6E/Operated Under Lease From Qatar,16884,N/A,Nonstop
BOM-DOH,2025-12-01,1,Air Arabia,17659,5 hr 15 min,1 stop
BOM-DOH,2025-12-01,1,flydubai,18106,6 hr 20 min,1 stop
BOM-DOH,2025-12-01,1,Air India,22661,3 hr 55 min,Nonstop
BOM-DOH,2025-12-01,1,Air India,22976,N/A,Nonstop
BOM-DOH,2025-12-01,1,IndiGoQatar Airways,30408,4 hr 5 min,Nonstop
BOM-DOH,2025-12-01,1,Qatar Airways,46530,3 hr 45 min,Nonstop
BOM-DOH,2025-12-02,2,SriLankan,12548,27 hr 10 min,1 stop
BOM-DOH,2025-12-02,2,IndiGoQatar AirwaysOperated by 6E/Operated Under Lease From Qatar,16884,N/A,Nonstop
BOM-DOH,2025-12-02,2,IndiGoQatar Airways,17661,4 hr 5 min,Nonstop
BOM-DOH,2025-12-02,2,Etihad,17699,7 hr 25 min,1 stop
BOM-DOH,2025-12-02,2,Etihad,17699,5 hr 25 min,1 stop
BOM-DOH,2025-12-02,2,EtihadOperated by Air Seychelles for Etihad Airways,19100,1 hr 40 min AUH,1 stop
BOM-DOH,2025-12-02,2,Air Arabia,22507,5 hr 15 min,1 stop
BOM-DOH,2025-12-02,2,Air India,28809,N/A,Nonstop
BOM-DOH,2025-12-02,2,Qatar Airways,46530,3 hr 45 min,Nonstop
BOM-DOH,2025-12-03,3,SriLankan,12548,20 hr 45 min,1 stop
BOM-DOH,2025-12-03,3,Air India,15285,N/A,Nonstop
BOM-DOH,2025-12-03,3,Akasa Air,15486,3 hr 50 min,Nonstop
BOM-DOH,2025-12-03,3,Air India,16518,3 hr 55 min,Nonstop
BOM-DOH,2025-12-03,3,IndiGoQatar AirwaysOperated by 6E/Operated Under Lease From Qatar,16627,N/A,Nonstop
BOM-DOH,2025-12-03,3,IndiGoQatar Airways,16884,4 hr 5 min,Nonstop
BOM-DOH,2025-12-03,3,Etihad,17699,5 hr 25 min,1 stop
BOM-DOH,2025-12-03,3,Etihad,17699,7 hr 25 min,1 stop
BOM-DOH,2025-12-03,3,Qatar Airways,46530,3 hr 45 min,Nonstop
BOM-DOH,2025-12-04,4,Akasa Air,13223,3 hr 50 min,Nonstop
BOM-DOH,2025-12-04,4,Air India,13935,N/A,Nonstop
BOM-DOH,2025-12-04,4,Air India,15132,3 hr 45 min,Nonstop
BOM-DOH,2025-12-04,4,IndiGoQatar Airways,16627,4 hr 5 min,Nonstop
BOM-DOH,2025-12-04,4,IndiGoQatar AirwaysOperated by 6E/Operated Under Lease From Qatar,16884,N/A,Nonstop
BOM-DOH,2025-12-04,4,Etihad,17699,5 hr 25 min,1 stop
BOM-DOH,2025-12-04,4,Etihad,17699,3 hr 35 min AUH,1 stop
BOM-DOH,2025-12-04,4,EtihadOperated by Air Seychelles for Etihad Airways,19100,1 hr 40 min AUH,1 stop
BOM-DOH,2025-12-04,4,Qatar Airways,46530,3 hr 45 min,Nonstop
